,Unnamed: 0,keyword,pos
0,0,더킬존,1
1,1,입주박람회,-1
2,2,ZMI보조배터리,1
3,3,나노패드거치대,2
4,4,슬림핏슬랙스,2
5,5,도수치료가격,-1
6,6,인견상하복,1
7,7,생로랑벨트,3
8,8,보조배터리50000,1
9,9,누가내치즈를옮겼을까,-1
10,10,매직보드,2
11,11,고깃집테이블,2
12,12,콜맨타프,1
13,13,일렉트로룩스식기세척기,4
14,14,유리소스병,2
15,15,스마트그립,2
16,16,스텐깔대기,2
17,17,나이키에어베이퍼맥스,3
18,18,텀블러에코백,1
19,19,연적,5
20,20,1RM,-1
21,21,프라다백팩,3
22,22,흔하지않은이름,-1
23,23,일본식자재마트,-1
24,24,경동화물택배,-1
25,25,BSQT,3
26,26,스미노프보드카,-1
27,27,오쿠식품건조기,2
28,28,PC헤드셋,1
29,29,NT,-1
30,30,나이키골프웨어여성,2
31,31,TEMPUR,4
32,32,CROCODILE,4
33,33,텐바이텐매장,-1
34,34,힙업운동,-1
35,35,원뿔,4
36,36,책꽂이책상,2
37,37,수동잔디깍기,2
38,38,양주선물,5
39,39,오아가습기,1
40,40,그립톡제작,3
41,41,40대빅사이즈여성쇼핑몰,2
42,42,눕는의자,2
43,43,테이프커터기,2
44,44,티볼리에어차박,3
45,45,나이키크롭,2
46,46,지워지는형광펜,1
47,47,애니굿즈샵,4
48,48,아기젤리,2
49,49,뚱뚱한남자코디,-1
50,50,웍추천,2
51,51,업소용음료수냉장고,2
52,52,남자구찌벨트,3
53,53,로렌조올리브오일,2
54,54,형광양말,2
55,55,퓨리티젖병소독기,3
56,56,지미추샌들,2
57,57,인테리어박람회,-1
58,58,1인용소파,2
59,59,자전거타이어교체비용,5
60,60,주식전문가,-1
61,61,닥터에스리,4
62,62,내츄럴모모,3
63,63,명품가방,2
64,64,노비스야테시,1
65,65,토코토코,-1
66,66,사과봉지,2
67,67,니트로,-1
68,68,MBK,-1
69,69,체인크로스백,3
70,70,우체국박스5호,3
71,71,노트북전원이안켜져요,-1
72,72,홈쇼핑이불,2
73,73,실내크리닝,4
74,74,C컵브라,2
75,75,자동차목받침,2
