,title,detail,uid,link
0,Contemporary Curated,4–10 November 2021 | 2:00 PM GMT | London,0000017b-caba-d7f6-a1fb-dabafed70000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-5
1,"STYLE London: Furniture, Ceramics, Silver, Clocks & Works of Art",29 October–9 November 2021 | 3:00 PM GMT | London,0000017c-bd81-d878-a57c-ff996cde0000,https://www.sothebys.com/en/buy/auction/2021/style-london-furniture-ceramics-silver-clocks-works-of-art
2,"Furniture, Clocks & Works of Art",9 November 2021 | 12:00 PM GMT | London,0000017c-31b7-d118-a9ff-35bfdd8b0000,https://www.sothebys.com/en/buy/auction/2021/furniture-clocks-works-of-art-2
3,Arts d'Asie Online,3–9 November 2021 | 12:00 PM CET | Paris,0000017c-b6d2-d5e4-a3ff-fef388d40000,https://www.sothebys.com/en/buy/auction/2021/arts-dasie-online
4,La Mystique de l'Indochine : Paris,3–9 November 2021 | 11:00 AM CET | Paris,0000017c-6fd6-d118-a9ff-7ffe02a70000,https://www.sothebys.com/en/buy/auction/2021/la-mystique-de-lindochine
5,"Two Americans in Paris, The Collection of Sam and Myrna Myers",4 November 2021 | 10:00 AM GMT | London,0000017c-2c89-d118-a9ff-3dbfc3fd0000,https://www.sothebys.com/en/buy/auction/2021/two-americans-in-paris-the-collection-of-sam-and-myrna-myers
6,Important Chinese Art,3 November 2021 | 10:00 AM GMT | London,0000017c-181f-d118-a9ff-1dbff4da0000,https://www.sothebys.com/en/buy/auction/2021/important-chinese-art-6
7,Past/Forward - Part II,19–29 October 2021 | 3:00 PM CEST | Paris,0000017c-739d-d118-a9ff-77bf51200000,https://www.sothebys.com/en/buy/auction/2021/past-forward-online
8,Art Impressionniste et Moderne Day Sale,19–28 October 2021 | 3:00 PM CEST | Paris,0000017a-811b-d35c-a37e-e97b26b40000,https://www.sothebys.com/en/buy/auction/2021/art-impressionniste-et-moderne-day-sale-2
9,Modernités,26 October 2021 | 6:00 PM CEST | Paris,0000017b-a69e-d2cb-a77f-af9f7d8f0000,https://www.sothebys.com/en/buy/auction/2021/modernites
10,Natively Digital 1.2: The Collectors,18–26 October 2021 | 10:00 AM EDT | New York,0000017c-7f63-d5f6-a17e-ff7f69bf0002,https://www.sothebys.com/metaverse
11,Past/Forward - Part I,26 October 2021 | 4:00 PM CEST | Paris,0000017c-5f27-d118-a9ff-5fbf83910000,https://www.sothebys.com/en/buy/auction/2021/past-forward
12,Picasso: Masterworks from the MGM Resorts Fine Art Collection,23 October 2021 | 6:00 PM PDT | Las Vegas,0000017b-354c-de79-a37f-3fec452a0000,https://www.sothebys.com/en/buy/auction/2021/picasso-masterworks-from-the-mgm-resorts-fine-art-collection
13,Contemporary Curated,6–19 October 2021 | 3:00 PM CEST | Paris,0000017c-1862-d118-a9ff-1dfeb6890000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-6
14,The Contemporary Austin’s 2021 Benefit Auction Hosted by Sotheby’s,4–18 October 2021 | 2:00 PM EDT | New York,0000017c-3cc6-d118-a9ff-3dfe86fe0000,https://www.sothebys.com/en/buy/auction/2021/the-contemporary-austins-2021-benefit-auction-hosted-by-sothebys
30,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen",18 October 2021 | 10:00 AM EDT | New York,0000017b-defe-d7f6-a1fb-defe5f200000,https://www.sothebys.com/en/buy/auction/2021/collector-dealer-connoisseur-the-vision-of-richard-l-feigen
31,Contemporary Art Day Auction,8–15 October 2021 | 3:00 PM BST | London,0000017a-cebd-d35c-a37e-effd24350000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-day-auction-4
32,Contemporary Art Evening Auction,14 October 2021 | 6:00 PM BST | London,0000017b-87bb-d2cb-a77f-afbb14bc0000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-evening-auction-2
33,Autour de la princesse de Salm | Arts et littérature,4–14 October 2021 | 3:00 PM CEST | Paris,0000017b-caa5-d7f6-a1fb-daad28d80000,https://www.sothebys.com/en/buy/auction/2021/autour-de-la-princesse-de-salm-arts-et-litterature
34,An Eye for Design: Property from the Dee and Tommy Hilfiger Collection,6–13 October 2021 | 12:00 PM EDT | New York,0000017c-5733-d118-a9ff-57bf2e9e0000,https://www.sothebys.com/en/buy/auction/2021/an-eye-for-design-property-from-the-dee-and-tommy-hilfiger-collection
35,Important Picasso Ceramics featuring Property from The Nina Miller Collection,6–13 October 2021 | 2:00 PM BST | London,0000017b-a1be-d2cb-a77f-abbf96090000,https://www.sothebys.com/en/buy/auction/2021/important-picasso-ceramics-featuring-property-from-the-nina-miller-collection
36,Important Chinese Art including Imperial Jades from the De An Tang Collection,13 October 2021 | 10:00 AM HKT | Hong Kong,0000017b-390a-d814-a9fb-b90e45410000,https://www.sothebys.com/en/buy/auction/2021/important-chinese-art-4
37,Reflection and Enlightenment: Chinese Buddhist Gilt-Bronzes from the Jane and Leopold Swergold Collection,12 October 2021 | 7:30 PM HKT | Hong Kong,0000017b-775c-d814-a9fb-f75c96ea0000,https://www.sothebys.com/en/buy/auction/2021/reflection-and-enlightenment-chinese-buddhist-gilt-bronzes-from-the-jane-and-leopold-swergold-collection
38,"The Three Emperors: Imperial Porcelain of the Kangxi, Yongzheng and Qianlong reigns from the Yidetang Collection",12 October 2021 | 6:00 PM HKT | Hong Kong,0000017b-9b26-d2cb-a77f-bb2fe66a0000,https://www.sothebys.com/en/buy/auction/2021/the-three-emperors-imperial-porcelain-of-the-kangxi-yongzheng-and-qianlong-reigns-from-the-yidetang-collection
39,Modern Art Day Sale,10 October 2021 | 3:30 PM HKT | Hong Kong,0000017b-3922-d814-a9fb-b92648f00000,https://www.sothebys.com/en/buy/auction/2021/modern-art-day-sale-2
40,Contemporary Art Day Sale,10 October 2021 | 10:00 AM HKT | Hong Kong,0000017b-3911-d814-a9fb-b91532200000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-day-sale-2
41,Contemporary Art Evening Sale,9 October 2021 | 8:00 PM HKT | Hong Kong,0000017b-391c-d814-a9fb-b91c3ee40000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-evening-sale-2
42,Modern Art Evening Sale,9 October 2021 | 6:00 PM HKT | Hong Kong,0000017b-3920-d814-a9fb-b924063b0000,https://www.sothebys.com/en/buy/auction/2021/modern-art-evening-sale-2
43,Boundless Space… The Possibilities of Burning Man,30 September–8 October 2021 | 11:00 AM EDT | New York,00000179-cdb1-df38-a179-ddb5945f0000,https://www.sothebys.com/en/buy/auction/2021/boundless-space-the-possibilities-of-burning-man
44,Life is Beautiful: Milan,29 September–7 October 2021 | 4:00 PM CEST | Milan,0000017b-1565-d0cf-abff-15f790240000,https://www.sothebys.com/en/buy/auction/2021/life-is-beautiful-milan
45,Impressionist and Modern Art Online,30 September–7 October 2021 | 2:00 PM BST | London,0000017a-cf18-d35c-a37e-ef7803890000,https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-online
46,Contemporary Art,24 September–4 October 2021 | 12:00 PM EDT | New York,0000017b-5b24-d814-a9fb-fb240ec20000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-online-new-york
47,Machine Hallucinations — Space : Metaverse,30 September–4 October 2021 | 10:00 AM HKT | Hong Kong,0000017b-ed5e-d118-a9fb-fdfec81f0000,https://www.sothebys.com/en/buy/auction/2021/machine-hallucinations-space-metaverse
48,Expansive Color: American Post Painterly Abstraction,24 September–1 October 2021 | 12:00 PM EDT | New York,0000017b-cfae-d7f6-a1fb-dfae10d00000,https://www.sothebys.com/en/buy/auction/2021/expansive-color-american-post-painterly-abstraction
